Price,Currency,Transaction Type,Title,Description,Category,Date Posted,Link
13.92,USD,SELLING,Cooler Fan For ASUS Strix GTX 980Ti GTX 1060 1080 1070 RX 480 580 VEGA64 VEGA56,Condition:New,Video Card/GPU Cooling,,https://www.ebay.ca/itm/373213386715
15.0,USD,SELLING,Bracket for XFX AMD Radeon RX Vega 56 8gb GPU PCI-E Graphics Card,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/154460418252
16.0,USD,SELLING,Cooler Fan For ASUS Strix GTX 980Ti GTX 1060 1080 1070 RX 480 580 VEGA64 VEGA56,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/154754763462
22.0,USD,SELLING,VBIOS VGA BIOS CHIP for AMD RADEON RX 580 / 590 / VEGA 56 / VEGA 64 / FRONTIER,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/133808261754
22.0,USD,SELLING,VGA BIOS CHIP for AMD RADEON RX 480 / 580 / 590 / VEGA 56 / VEGA 64 / FRONTIER,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/144122435059
100.89,CAD,sell,"Computer Graphics Cards, 4GB Graphics Card, for AMD Graphics Card, GPU for Gaming PC, Low Noise and Quiet Work, HD6770 128Bit DDR5 650MHz",,,,/Computer-Graphics-Gaming-HD6770-128Bit/dp/B09CP9WJP5/ref=sr_1_12?keywords=vega+56&qid=1642306177&sr=8-12
175.0,CAD,BUYING,Vega 56 8gb parts only,Non working Vega 56.Bought used but after a week it started showing issues then a week later I got no screen at all.Beyond my scope of repair. Has some new heat paste but no video at all. Unimpressive. Most unimpressive.Vega 56 8gb parts only. No video.$175 firm,v-computer-components,2021/12/03,https://www.kijiji.ca/v-computer-components/edmonton/vega-56-8gb-parts-only/1596918354
189.0,USD,SELLING,Full Cover + Control GPU Water Block For AMD Radeon Vega 56/64 Founder Edition,Condition:New,Graphics/Video Cards,,https://www.ebay.ca/itm/373571695359
209.99,CAD,sell,"Yeston AMD Radeon RX550 Gaming Graphics Cards,4G/128bit/GDDR5 6000MHz VGA + HD + DVI-D Low Profile GPU,Desktop Video Card",,,,/AMD-RX550-Graphics-6000MHz-Profile/dp/B09BMQ7YBX/ref=sr_1_10?keywords=vega+56&qid=1642306177&sr=8-10
249.99,CAD,sell,"MAXSUN AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card GPU 128-Bit DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",,,,/RX-550-Computer-Graphics-DisplayPort/dp/B08VHWFWSD/ref=sr_1_17?keywords=vega+56&qid=1642306177&sr=8-17
300.0,USD,SELLING,NOT WORKING PowerColor Radeon RX Vega 56 Red Dragon 8GB 8G 2048-bit HBM2 PCI-E,Condition:For parts or not working,Graphics/Video Cards,,https://www.ebay.ca/itm/275108702649
472.0,CAD,sell,AMD Radeon Pro WX4100 Graphics Card Blue (100-506008),,,,/AMD-100-506008-Radeon-Workstation-Graphics/dp/B01MQHEAYE/ref=sr_1_13?keywords=vega+56&qid=1642306177&sr=8-13
495.0,USD,AUCTION,MSI Radeon RX Vega 56 Air Boost 8G OC,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/154791821147
499.99,CAD,sell,"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600K-10M",,,,/ZOTAC-GeForce-192-bit-Graphics-ZT-T16600K-10M/dp/B07XV7FNR2/ref=sr_1_8?keywords=vega+56&qid=1642306177&sr=8-8
570.0,USD,AUCTION,MSI Vega 56 Air Boost Graphics Card 8GB Good Used Condition,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/144368263449
580.0,USD,AUCTION,MSI Vega 56 Air Boost Graphics Card 8GB Samsung Memory 56/64 BIOS dual flashed,Condition:Used,Graphics/Video Cards,,https://www.ebay.ca/itm/144372765431
619.99,CAD,sell,"ZOTAC Gaming GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T16620F-10L",,,,/ZOTAC-GTX-1660-Graphics-ZT-T16620F-10L/dp/B07Z8PWC6R/ref=sr_1_3_mod_primary_new?keywords=vega+56&qid=1642306177&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-3
